EventID,DecodedID,EventName,DateTime
Za5ju3rKuqZBoue9Y7poeCayOb-PiBN6U,R250406,Brooklyn Nets vs. Toronto Raptors (Suite),2025-04-06 19:30:00+00:00
1AdZZb8GkUE5oyT,R250406,Brooklyn Nets v. Toronto Raptors (Kids Game),2025-04-06 19:30:00+00:00
1AYZkA6Gkd1V0vV,R250406,Brooklyn Nets  vs Toronto Raptors (Suite),2025-04-06 19:30:00+00:00
Za5ju3rKuqZDe332fTZJu5kFT6ot1W43Re,R250406,The Toki Row Pass - Nets vs.Toronto Raptors,2025-04-06 19:30:00+00:00
Z7r9jZ1A7u7u0,L250408,Florida Panthers vs. Toronto Maple Leafs,2025-04-08 23:00:00+00:00
vvG1VZb8ki7dap,L250409,Tampa Bay Lightning vs. Toronto Maple Leafs,2025-04-09 23:00:00+00:00
Za5ju3rKuqZBnaB9_91oA8tzZLNP-MZiC,R250409,Toronto Raptors vs Charlotte Hornets,2025-04-09 23:30:00+00:00
Za5ju3rKuqZBbtpFlTX41wF3xx6IgW1nb,R250409,Toronto Raptors vs Charlotte Hornets,2025-04-09 23:30:00+00:00
Za5ju3rKuqZB22c3-sGs5TIeHKTQnxSS8,R250409,Toronto Raptors vs Charlotte Hornets,2025-04-09 23:30:00+00:00
1k7Zv-a6GAC-YyN,R250409,GREATEST OF ALL TORONTO NIGHT | Toronto Raptors v Charlotte Hornets,2025-04-09 23:30:00+00:00
Za5ju3rKuqZDere6hn--AZ0BRAdXdxijXp,R250409,Toronto Raptors vs Charlotte Hornets,2025-04-09 23:30:00+00:00
Za5ju3rKuqZDvTS1vClZoumFlXu0CTgk3Z,R250412,SUITES: Dallas Mavericks vs Toronto Raptors,2025-04-12 00:30:00+00:00
vvG1YZb8Xg63rq,R250412,Dallas Mavericks vs. Toronto Raptors,2025-04-12 00:30:00+00:00
